Name,,,,,
kuroneko#1765,1448,1409,1070,923,
SinisteRock#8632,1878,1840,1821,1497,1431
Crock0Dial#1100,1489,1416,1314,1241,1207
Deadskwerl#3556,1419,1373,1324,1320,1287
ZoulCash#9702,1593,1429,1321,1234,1209
Billy Mays™️#2121,1321,1167,1104,1076,1031
Eva-01#8813,1838,1576,1418,1404,1325
willof12#2295,2148,1764,1600,1462,1380
ImJarenWard TTV#4813,2175,2058,1603,1526,1413
starrytittysprinkles#2716,2151,2079,2052,1887,1519
Revxzzy,2037,1783,1727,1671,1602
Tempine,1,,,,
